Site,Cohort,Locus,NAe,Ar,He,Ho,Fi,p,Fij1,bFlog,Sp,mean_avg_kinship_jknfd,mean_avg_kinship_jknfd_SE,n_ints,avg_pairwise_kinship,jackknifed_avg_Fij,jackknifed_avg_Fij_SE
RA,seed-adult,Ep32,,,,,,,0.0054,-0.00900825,0.009057159,,,10_25-215m,0.0012,,
RA,seed-adult,Ep06,,,,,,,-0.0286,0.00458528,-0.004457787,,,10_25-215m,-0.0031,,
RA,seed-adult,Ep08,,,,,,,0.0033,-0.0138436,0.013889435,,,10_25-215m,-0.0002,,
LA,seed-adult,Multilocus_avg,,,,,,,0.0295,-0.012138,0.012506955,-0.0013,0.0019,10_25-215m,-0.0012,,
LA,seed-adult,Ep03,,,,,,,-0.0157,0.0132047,-0.013000591,,,10_25-215m,0.001,,
LA,seed-adult,Ep05,,,,,,,0.0662,-0.0362733,0.038844828,,,10_25-215m,-0.0071,,
LA,seed-adult,Ep32,,,,,,,-0.0285,0.0111856,-0.010875644,,,10_25-215m,0.0003,,
LA,seed-adult,Ep06,,,,,,,0.0339,-0.0212706,0.022016975,,,10_25-215m,-0.0005,,
LA,seed-adult,Ep08,,,,,,,0.0356,-0.0023765,0.002464226,,,10_25-215m,0.0021,,
TRC,seed-adult,Multilocus_avg,,,,,,,0.0097,-0.00558879,0.005643532,-0.0001,0.001,10_25-215m,-0.0001,,
TRC,seed-adult,Ep03,,,,,,,0.0036,0.00619962,-0.006222019,,,10_25-215m,-0.0044,,
TRC,seed-adult,Ep05,,,,,,,0.0098,-0.00866698,0.008752757,,,10_25-215m,0.0015,,
TRC,seed-adult,Ep32,,,,,,,0.0037,-0.00524649,0.005265974,,,10_25-215m,-0.0018,,
TRC,seed-adult,Ep06,,,,,,,-0.0022,0.00892809,-0.008908491,,,10_25-215m,0.0021,,
TRC,seed-adult,Ep08,,,,,,,0.0166,-0.0120708,0.012274558,,,10_25-215m,-0.0007,,
RA,seed-adult-5loci,,,,,,,,,,,,,,,-0.0011,0.0009
LA,seed-adult-5loci,,,,,,,,,,,,,,,-0.0013,0.0019
TRC,seed-adult-5loci,,,,,,,,,,,,,,,-0.0001,0.001
RA,seed-adult-7loci,,,,,,,,,,,,,,,-0.0004,0.001
LA,seed-adult-7loci,,,,,,,,,,,,,,,-0.0015,0.0018
TRC,seed-adult-7loci,,,,,,,,,,,,,,,-0.0006,0.0011
